,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0,1674.0
L1,mean,895.9904420549582,-8.063442652329768e-05,-8.675191158900851e-05,0.0002907429390681004,-0.0002252874611708487,0.00024166673835125435,-0.0005152108399044205,0.0005437489545997614,0.004313417043010752,0.0007601896714456394,-5.5018817204301706e-05,0.0002723865531660694,0.0019056889486260456,0.0005118474193548382,-0.0006987349581839905,0.0010282350167264043,-3.077407407407434e-05,-0.00040271528853046585,0.0001669705675029869,0.0008421069725209079,-0.0030514814217443256,-0.0001618763440860217,0.0007343410454002389,-0.0002662652150537635,0.0017984032855436077
L1,std,51.69712618118374,0.01354148159010104,0.011760063432032446,0.010182738318670826,0.011420453118323322,0.013370244899169412,0.009759720603247589,0.011018810023567952,0.04177140656536976,0.013269733187641491,0.01548312075964619,0.014412397181818871,0.02334842762016146,0.012802322394026247,0.007905052660815842,0.015341222336062948,0.010515477596170407,0.011819996472128383,0.012427800264154246,0.01957100388820122,0.0162742974036084,0.012225337410561806,0.014167943401673029,0.012958535547924624,0.020753766891095732
L1,min,808.0,-0.0371,-0.024,-0.0304,-0.0286,-0.0323,-0.0317,-0.0309,-0.0878,-0.0238,-0.0376,-0.0361,-0.0561,-0.0283,-0.0284,-0.0363,-0.0318,-0.0344,-0.0319,-0.039,-0.0474,-0.0394,-0.0407,-0.0311,-0.0429
L1,25%,850.0,-0.0089475,-0.0083075,-0.007095,-0.0065475,-0.007515000000000001,-0.007017499999999999,-0.00719,-0.026475,-0.0095575,-0.009805,-0.007745,-0.013175,-0.007497499999999999,-0.005035,-0.00773,-0.0059225,-0.00778,-0.00799,-0.0149,-0.013574999999999999,-0.00848,-0.0090325,-0.0102,-0.0123
L1,50%,898.0,-0.0003955,0.00145,0.001345,-0.0007340000000000001,0.00030750000000000005,-1.5e-05,-0.0001455,-0.00362,0.00045149999999999997,0.000275,0.000126,0.0019200000000000003,-0.001775,-0.0010350000000000001,0.0016849999999999999,0.00029549999999999997,-0.0005785,0.0002365,-0.00025449999999999995,0.000898,-0.0004315,0.00125,-0.0005200000000000001,0.001345
L1,75%,940.0,0.009427499999999998,0.008477499999999999,0.0065875000000000005,0.0070925,0.008227499999999999,0.0058925,0.0077875,0.036,0.0108,0.0103,0.008635,0.019174999999999998,0.0095925,0.004517500000000001,0.0108,0.0062775,0.0071225,0.007895,0.016075,0.008884999999999999,0.00827,0.0109,0.007614999999999999,0.0145
L1,max,986.0,0.0403,0.036,0.0249,0.0315,0.0352,0.0314,0.0338,0.133,0.0384,0.0493,0.0411,0.0728,0.0409,0.0274,0.042,0.034,0.033,0.039,0.0622,0.0298,0.0411,0.045,0.0388,0.0596
L2,count,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0,1743.0
L2,mean,1845.7659208261618,0.0006893417154331615,-1.8836431440046104e-05,0.0004191255306942057,0.0010515384738955817,0.00033774842226047113,0.0005854648881239232,5.7846815834767386e-05,-0.002557163568559954,0.00027318829604130806,-0.0011498300057372344,-0.00042500401606425706,-0.004181353356282272,-0.00048196403327596107,-0.00022499575444635684,0.00012721835915088843,-0.0001870829317269076,-0.0007583111589213997,-0.0006447162134251285,4.668876075731457e-05,0.001833996913367757,-0.0029084402180149164,-0.0006987310958118186,-0.00032245752151463015,0.00014308261617900221
L2,std,53.04371015461985,0.014717537239796715,0.018057501827637774,0.02432242220161096,0.02619900320277522,0.024944055607362407,0.030251284226525975,0.01533362786659157,0.043547668905825475,0.014252169763739672,0.022834364873964598,0.033640109450817836,0.03659840152862998,0.01892209224171178,0.019826802625676886,0.017500660644145898,0.018893089235753842,0.01941210088058581,0.017864749556554232,0.02041397091349721,0.020319087748815905,0.026886657027151338,0.018823218545647474,0.01888449719344552,0.02512273842826675
L2,min,1750.0,-0.0344,-0.0292,-0.0563,-0.0591,-0.0496,-0.0853,-0.0371,-0.0897,-0.032,-0.0444,-0.0664,-0.0687,-0.0406,-0.0618,-0.0356,-0.0364,-0.039,-0.0388,-0.042,-0.0689,-0.0632,-0.0348,-0.0413,-0.0497
L2,25%,1800.0,-0.008975,-0.01435,-0.0158,-0.0187,-0.01795,-0.0185,-0.008235,-0.03365,-0.0109,-0.0188,-0.0242,-0.0294,-0.0124,-0.0118,-0.0106,-0.0138,-0.014,-0.0125,-0.01335,-0.008945,-0.0224,-0.0135,-0.0122,-0.0163
L2,50%,1840.0,-0.0006580000000000001,-0.00443,-0.0019100000000000002,-0.0009699999999999999,-0.0056700000000000006,-0.000947,-0.000771,-0.006640000000000001,-3.2200000000000003e-05,-0.00502,-0.004379999999999999,-0.00881,-0.0012699999999999999,0.00317,-0.000977,-0.0016,-0.0029100000000000003,-0.00139,-0.00294,0.00134,-0.00477,-0.00352,-0.00123,-0.0032700000000000003
L2,75%,1890.0,0.01035,0.01115,0.0151,0.0196,0.01795,0.01925,0.008295,0.0234,0.009095,0.015,0.0204,0.01165,0.01095,0.0112,0.0113,0.0112,0.009395,0.01,0.01015,0.0139,0.0118,0.008245,0.0109,0.0158
L2,max,1940.0,0.0501,0.0559,0.0817,0.0652,0.0694,0.0819,0.0505,0.132,0.0438,0.0749,0.0982,0.11699999999999999,0.0613,0.058,0.0517,0.0504,0.0638,0.0488,0.056,0.0714,0.093,0.0586,0.0629,0.0707
Non,count,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0,5025.0
Non,mean,1319.8587064676617,0.0001259566845771143,-0.0002277750772139303,0.00011248413074626825,0.0006704510845771147,0.0007382295323383087,0.001315927653731343,-0.00011142043781094532,0.0013111669771144272,-0.0002633118388059702,-0.0002738097671641792,-9.630561194029846e-05,-0.00027434506706467776,0.00036920175124378115,0.0006105390041791041,0.0005620210288557216,0.00015043420179104545,2.7922822686567055e-05,0.00027237438407960154,0.00030107246686567166,-1.2904435024875906e-05,-0.00011840364179104544,0.0003214909253731344,0.00042344423850746246,0.0007486151164179105
Non,std,147.2941992979143,0.020227345884346035,0.02436744500948111,0.035723313599183945,0.048768276114096426,0.04492982102250529,0.048147370724544496,0.016082764826718287,0.07220457163520398,0.018078592844829038,0.03761111558981181,0.05770738487008398,0.0700567564691506,0.03779861588876332,0.02748974687239731,0.03926095275081084,0.04319389663844378,0.03446098145072495,0.03763789156151926,0.02837955586858345,0.018905400989009807,0.04724531139698733,0.03604326553153558,0.03442437658396755,0.047934774988985476
Non,min,1060.0,-0.0559,-0.0633,-0.1,-0.128,-0.126,-0.128,-0.0475,-0.198,-0.0539,-0.0971,-0.159,-0.198,-0.10300000000000001,-0.0763,-0.12,-0.115,-0.0839,-0.0933,-0.0837,-0.0629,-0.145,-0.10300000000000001,-0.0986,-0.14800000000000002
Non,25%,1190.0,-0.0118,-0.0151,-0.0237,-0.0317,-0.029,-0.0274,-0.0095,-0.0469,-0.0108,-0.0235,-0.0381,-0.0511,-0.024,-0.0157,-0.0255,-0.0289,-0.0228,-0.0234,-0.0172,-0.0101,-0.0321,-0.0218,-0.0219,-0.0307
