,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0
L1,mean,753.0314318975553,-0.0004101655646100119,2.765325611175783e-05,-8.321437718277078e-05,6.366688009313153e-05,-0.0006073447380675203,-0.0001301138998835855,0.0002614571012805588,0.0004798169965075669,-4.874714377182768e-05,2.313556461001174e-05,0.0001856597322467986,0.001798399301513388,-0.0003968858905704309,0.0005161789563445866,-0.00047771578812572763,0.00043888330616996486,-6.930393189755524e-05,1.5309254947613553e-05,1.1356234575087146e-05,-0.0003245365634458672,-0.0003544459953434225,-1.1484778055878911e-05,6.930983701979052e-05,-0.00067475302677532
L1,std,52.86915477205873,0.006289286543411094,0.005705041999170691,0.007253536455078001,0.011294383787672588,0.008708277106613527,0.006781809546913761,0.004543157982577575,0.013417179256488151,0.005184515755964218,0.004846765883835968,0.005103934915773218,0.11570534559330728,0.007547452314830972,0.005980057307116051,0.01310044066125493,0.005635425785632937,0.005873427181750028,0.006470146843610404,0.00679406838666658,0.006029187654210355,0.007038472498641689,0.005412987510934807,0.005214726588575777,0.010103585596380008
L1,min,663.0,-0.0149,-0.0179,-0.0212,-0.0317,-0.0236,-0.0145,-0.0139,-0.0376,-0.0139,-0.0131,-0.0156,-0.321,-0.0206,-0.0183,-0.0406,-0.0179,-0.0163,-0.0177,-0.0197,-0.0167,-0.0232,-0.0132,-0.0152,-0.0286
L1,25%,707.0,-0.0048575,-0.0033374999999999998,-0.0044975,-0.0071675,-0.0059375,-0.0048975,-0.00259,-0.00825,-0.00395,-0.0025075,-0.0026,-0.06267500000000001,-0.005679999999999999,-0.00346,-0.008402499999999999,-0.0029224999999999998,-0.003555,-0.00421,-0.0048325,-0.0049375,-0.0051975,-0.003945000000000001,-0.0035299999999999997,-0.0079375
L1,50%,751.0,-0.000864,-0.000545,0.0006330000000000001,0.0015149999999999999,-0.001975,-0.0004705,-4.46e-05,0.00011325000000000002,-0.00034250000000000003,-0.00030849999999999996,0.000435,0.00552,-0.001165,0.0006464999999999999,-0.0003635,0.0004695,-2.21e-05,0.0004555,-8.9295e-06,-0.0007485,-0.000116,-0.0001695,-5.8399999999999997e-05,-0.0005785
L1,75%,798.0,0.0036799999999999997,0.0036550000000000003,0.0044375,0.007845,0.004565,0.004602500000000001,0.0035475,0.0084775,0.0035775,0.00251,0.0028399999999999996,0.06609999999999999,0.0049875,0.0048475,0.007899999999999999,0.00409,0.0038875,0.00418,0.00466,0.0036274999999999996,0.0041375,0.0034774999999999997,0.0033049999999999998,0.006194999999999999
L1,max,845.0,0.0217,0.0185,0.0189,0.0375,0.0281,0.0196,0.0162,0.0381,0.0151,0.0137,0.0178,0.341,0.0257,0.0166,0.0407,0.0139,0.0177,0.0196,0.0205,0.0206,0.0185,0.0137,0.0177,0.0262
L2,count,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0,1740.0
L2,mean,2208.9942528735633,-0.0011397589540229883,0.0006287697183908045,0.0018501843965517241,0.00021141699425287363,0.003960607928160919,-0.0003067628390804599,0.0006647064080459769,-0.004756731869540229,-0.00028394408218390796,-0.00013709436781609197,0.0007812820977011494,0.011272525517241377,0.0015971738390804595,-0.0014878775862068965,-0.001168536988505747,2.413965517241396e-05,-0.0009463765189655173,0.0004904987241379311,-0.0017509238505747128,-0.0007003990570689654,-0.0014474322068965516,-0.0021757867126436783,0.0018510310344827584,0.0020233795459770115
