,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0
L1,mean,539.8453070683662,0.0004573550637311708,-0.00037837104287369685,0.0008904913093858629,0.0002674140730011593,0.000740656349942063,-0.0013914524913093854,0.000609838586326767,5.9919524913093786e-05,9.416008690614124e-05,0.00014869101969872516,5.158630938586322e-05,0.00016824322132097372,-0.0014333308227114717,-0.0013473887601390506,-0.00030095411355735783,0.0004188438586326767,0.0005777044032444961,-0.00034044383545770584,0.0002145770162224795,7.797792584009279e-05,0.00011113539750869061,-0.00015720834298957098,0.00020325196987253777,0.0010412570683661648
L1,std,50.4418373453547,0.015904037631697166,0.021378699853761757,0.02274962317601409,0.03398323193176445,0.013671384541250905,0.02014262650849288,0.012962040148177386,0.027915855492371626,0.012945553899328211,0.014742002607440421,0.013537399684119962,0.012386624990674082,0.02026736459119315,0.024446011444252947,0.014047003412221409,0.0288722787755871,0.01416889741408265,0.022382667506964868,0.013537538994704066,0.012159172620481225,0.009615505102884706,0.015392518833914652,0.01587386935195652,0.011531475742683494
L1,min,448.0,-0.0469,-0.0609,-0.063,-0.10300000000000001,-0.0378,-0.0804,-0.0345,-0.0851,-0.0408,-0.0428,-0.0465,-0.04,-0.0741,-0.0941,-0.0482,-0.0867,-0.034,-0.0595,-0.0377,-0.0333,-0.0238,-0.0503,-0.0436,-0.0336
L1,25%,497.0,-0.009219999999999999,-0.0136,-0.0156,-0.024375,-0.008477499999999999,-0.014,-0.0063774999999999995,-0.0179,-0.008595,-0.009665,-0.00784,-0.00824,-0.01285,-0.0198,-0.0087875,-0.019325000000000002,-0.00872,-0.016,-0.0091825,-0.007260000000000001,-0.0062875,-0.0095,-0.009442500000000001,-0.006427500000000001
L1,50%,540.0,-0.000437,0.00031749999999999997,0.0005915,0.0064,0.001775,-9.199999999999999e-05,0.00042849999999999995,0.0003755,0.001275,-1.4050000000000003e-05,0.0002595,-0.0005304999999999999,0.000203,0.00131,0.00037600000000000003,0.00309,-0.00017999999999999998,-0.001365,0.000931,0.0003775,-0.0005625000000000001,0.000543,0.001385,0.0017549999999999998
L1,75%,584.0,0.0124,0.015175000000000001,0.01655,0.021574999999999997,0.0086,0.0113,0.0102,0.0202,0.008020000000000001,0.0103,0.00945,0.00919,0.0115,0.0139,0.009915,0.018175,0.009097500000000001,0.0148,0.009715,0.008557500000000001,0.0072675000000000005,0.009435,0.010575000000000001,0.009802499999999999
L1,max,627.0,0.0369,0.0506,0.0534,0.0937,0.0458,0.0805,0.0343,0.0683,0.0341,0.0442,0.0282,0.0398,0.0644,0.0715,0.0478,0.0771,0.0364,0.0664,0.0344,0.0327,0.0307,0.0339,0.0397,0.0312
L2,count,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0,1793.0
L2,mean,1724.6346904629113,0.00030613907975460134,0.0002617259397657556,0.000592394406023424,-0.0006247724484104856,-0.0013434092582264362,-0.0020174505856107084,0.0004603569715560509,0.0021880210764082544,0.0006323118906860013,0.0003389837423312882,0.00010899231622978238,0.0005154117010596767,-0.0011452880089235918,-0.001639022364751813,-9.093961293920799e-05,-0.0007956871779141101,2.8807049637478888e-05,-0.0009957301171221414,0.0014392955939765758,0.0006226371667596209,0.0006806573290574454,0.0006086398382598995,-0.0005553718349135528,0.000619719849414389
