,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0
L1,mean,668.4797891036907,-0.0008621219859402462,2.514171060339786e-05,-0.0014211765202108964,-0.0022749331985940247,0.0033388957826596365,-0.0009055017750439368,-2.545033977738735e-05,-0.0005997087189806684,-0.002432816028119508,-6.187428236672501e-05,-0.0009458501113063854,-0.0020522764499121275,-0.0019644278676039834,-0.0017881534270650261,-0.0009963783163444639,-1.2029935559461124e-05,-0.0008452881663737552,-0.0025631783118922084,-5.709800820152204e-06,-0.003090120035149385,-0.00343700625659051,-0.0019113060339777386,-0.0015633671939074398,0.00026430248974809603
L1,std,52.84473737011416,0.012258982855503206,0.011416808376119832,0.014257258478619816,0.010330314359729318,0.012355327551781078,0.009009193422220042,0.007370011380741538,0.011109923335968892,0.01473742073863509,0.011111825314006353,0.011727276527551114,0.04177188861085272,0.013040745004110309,0.010606874325100143,0.01496772310251988,0.009795974530437143,0.01183059778769332,0.016945989844272376,0.012381886233783815,0.018386068918967786,0.016088296575464654,0.01301696634931397,0.013869613404563707,0.019498808866684578
L1,min,576.0,-0.035,-0.0384,-0.0363,-0.0272,-0.0662,-0.0321,-0.0221,-0.025,-0.0365,-0.0344,-0.028,-0.13699999999999998,-0.0364,-0.0292,-0.0371,-0.0281,-0.0351,-0.0437,-0.0319,-0.0548,-0.0439,-0.0363,-0.0397,-0.047
L1,25%,623.0,-0.009155,-0.004965000000000001,-0.0124,-0.009655,-0.0033099999999999996,-0.0064399999999999995,-0.005345,-0.00919,-0.0122,-0.00624,-0.00818,-0.0243,-0.0114,-0.008975,-0.0122,-0.0075,-0.008555,-0.0143,-0.007325,-0.0133,-0.0137,-0.0112,-0.0123,-0.0139
L1,50%,669.0,0.000688,2.14e-05,-0.0020399999999999997,-0.0013800000000000002,0.00298,-0.000791,0.000735,-0.000973,-0.00235,0.000471,-0.00151,-0.0050799999999999994,-0.000599,-0.0007700000000000001,-0.000737,0.0005059999999999999,-0.00202,-0.0034799999999999996,-0.0008,-0.00318,-0.0027,-0.00173,-0.00123,0.000133
L1,75%,715.0,0.007375,0.00892,0.007375,0.00445,0.00949,0.005045,0.00493,0.00666,0.007529999999999999,0.00863,0.006875,0.0204,0.0073950000000000005,0.0047550000000000005,0.008885,0.00722,0.006795,0.009065,0.008334999999999999,0.008595,0.007015,0.007795,0.00916,0.0132
L1,max,759.0,0.0378,0.0224,0.0428,0.0331,0.0577,0.0332,0.0238,0.0318,0.0593,0.0217,0.0342,0.125,0.044,0.0387,0.0435,0.0237,0.0359,0.0559,0.0388,0.0708,0.0672,0.0348,0.03,0.0533
L2,count,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0,1831.0
L2,mean,1526.9415619879846,-0.0011020665101037685,-0.0008066170398689241,-0.0002630473184052431,-0.0014968530802839974,0.0004315405297651556,-0.0022857127416712176,-0.0008905271982523213,-0.0004370525942108138,-0.001118106226105953,-0.00046799926925177504,-2.8111578372474224e-05,-0.0037304790551611145,-0.0015309106335335881,-0.0019092534134352813,-0.0014451251938831235,-0.0003159537411250682,-0.0011768333697433097,-0.0012941096668487163,-0.00039405770617149103,-0.000934990795193883,-0.0017852449426542874,-0.0011151582741671217,-0.0011629829055161114,-0.001023200327689787
