,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0,1690.0
L1,mean,799.4976331360947,-0.0014158049840236684,-0.0011389919940828404,3.0222224852070885e-05,0.000261786307692308,0.00509796674556213,-0.0018480359112426031,-0.0016938662307692308,-0.0012346348816568047,-0.0018273367455621302,-0.0015020228579881655,-0.0037375614745562137,-0.002566998343195266,0.0011669814041420114,0.00019791257396449698,0.002381075852071006,3.3529106508875575e-05,0.0005069849573964493,0.0023346772189349113,-0.0010975787573964497,-0.0015558636153846152,-0.0023230795857988166,-0.004048020118343195,0.0016966822307692303,-0.0012004814792899406
L1,std,50.547578783360166,0.011461325208719092,0.010596565747546631,0.008255179184080667,0.014407929675012665,0.03794998277884076,0.029861342683857744,0.012244653450954816,0.007102990998891195,0.010866393179125447,0.017352031896824226,0.020993074098127916,0.02046478626263552,0.012696154541525043,0.012673258265922588,0.018158032042154524,0.009310559085485991,0.02032089392610379,0.01974245418322953,0.010260072874745589,0.011631905106817015,0.015234734439409451,0.013877517975361898,0.011052702683750157,0.012210815578314022
L1,min,714.0,-0.0616,-0.0414,-0.0286,-0.0496,-0.0805,-0.145,-0.0363,-0.0234,-0.0412,-0.0795,-0.0923,-0.11599999999999999,-0.0469,-0.0447,-0.0674,-0.0366,-0.0956,-0.0739,-0.0559,-0.0485,-0.0789,-0.0476,-0.0245,-0.0425
L1,25%,756.0,-0.0080825,-0.008295,-0.0039275,-0.009745,-0.016225,-0.015850000000000003,-0.0113,-0.0062675000000000005,-0.007925,-0.007995,-0.0139,-0.00877,-0.0083925,-0.007975,-0.0102,-0.0049700000000000005,-0.007237500000000001,-0.004955,-0.006512500000000001,-0.0074775,-0.0087275,-0.009237500000000001,-0.00438,-0.008925
L1,50%,798.5,-0.002005,-0.0018800000000000002,0.0007,0.0008925000000000001,0.001785,-0.002275,-0.00184,-0.000403,-0.001415,-0.001395,-0.00297,-0.00288,0.0014,-0.0005989999999999999,0.0033699999999999997,-0.000243,0.00133,0.003445,-0.000447,-0.002415,-0.002425,-0.0032,0.001565,-0.000374
L1,75%,841.0,0.0063625,0.0055650000000000005,0.0050575,0.00782,0.017675,0.00869,0.0064175000000000005,0.0038675000000000003,0.0045874999999999996,0.00521,0.0089,0.007859999999999999,0.00883,0.0089175,0.0117,0.006215000000000001,0.00907,0.012,0.00507,0.005452500000000001,0.0043275,0.0031525,0.007055,0.005827499999999999
L1,max,900.0,0.0395,0.027,0.0247,0.0578,0.19,0.14300000000000002,0.029,0.0243,0.0404,0.125,0.0644,0.151,0.0427,0.0336,0.0975,0.0267,0.10400000000000001,0.0763,0.037,0.0507,0.0914,0.0413,0.0577,0.0538
L2,count,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0
L2,mean,2112.7741935483873,-0.0004937366774193547,-4.956685161290345e-05,0.00017216269032258055,0.0003653296258064517,0.0010403230838709682,-0.000994711729032258,-0.0003817697741935485,3.674894838709684e-05,-0.0003138188187096776,-0.0001850945290322581,4.812421483870954e-05,-0.0010308833825806451,-6.933225161290307e-05,-0.0027690265612903228,-0.0009996223441935484,0.0006051731483870967,-0.00031890210967741903,0.00015647289225806453,0.00020812012787096775,-0.0004405878064516131,-0.0012007509677419352,-0.0003255582322580644,9.002020645161288e-05,-0.00033577514838709673
