,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0
L1,mean,832.4705228031146,0.0002940394327030033,0.0006981932258064519,0.0005587802947719689,0.00012262296996663017,0.0006095162235817577,0.00045345684093437143,0.0007848285205784204,0.002326367630700779,0.00043397964404894376,0.0017537382035595112,0.0005801274276974414,0.001164432074527252,0.0005215329977753057,0.0004774568965517241,0.0005639181078976643,0.0002486941601779752,0.0026850469855394877,0.0025540370967741936,0.0010329419354838713,0.0019466634610678533,0.002438962046718576,0.0013064162180200227,0.001953167728587319,0.0006752652947719691
L1,std,53.36152533461765,0.00923817695347426,0.01653048080513188,0.012932587243108312,0.01738272601183954,0.012310973964892198,0.015297428903713115,0.011595693087705755,0.02750229645457187,0.016846760111421197,0.015181782504861628,0.01081983346853889,0.00871381724289651,0.01494491211015512,0.011878903079359173,0.022121274605751893,0.03163794291096848,0.015774869469344758,0.02176726454141585,0.017070506021162703,0.015809121273820118,0.031804124985436465,0.05456375935459508,0.01960395271232781,0.020213775378166567
L1,min,737.0,-0.0282,-0.0405,-0.0293,-0.0426,-0.0276,-0.0336,-0.0339,-0.0593,-0.0414,-0.0374,-0.0258,-0.0231,-0.0268,-0.0293,-0.0571,-0.0694,-0.0521,-0.0484,-0.0411,-0.0553,-0.1,-0.154,-0.0651,-0.0596
L1,25%,788.0,-0.0055975,-0.0118,-0.00798,-0.0123,-0.0084575,-0.010674999999999999,-0.006895,-0.0187,-0.0117,-0.009487500000000001,-0.007509999999999999,-0.0047175,-0.0109,-0.0079675,-0.015475,-0.020975,-0.00835,-0.0126,-0.010275,-0.005535,-0.0135,-0.0216,-0.0081175,-0.0127
L1,50%,833.0,0.000271,0.00046100000000000004,0.00046049999999999997,-0.0014199999999999998,0.00014649999999999998,0.00041850000000000004,0.001415,0.002025,0.001245,0.00169,0.000377,0.0006405,-0.001575,0.001015,-0.002625,-0.0006655000000000001,0.002985,0.001055,0.00021049999999999997,-4.945e-05,0.00038500000000000003,0.0016350000000000002,0.0026899999999999997,0.0004795
L1,75%,878.0,0.005755,0.0127,0.0074175000000000005,0.0119,0.00853,0.01,0.00741,0.019475,0.0125,0.011875,0.0071874999999999994,0.0066025,0.0114,0.0086125,0.016675,0.018975,0.0117,0.0164,0.01115,0.0091275,0.018949999999999998,0.026,0.0125,0.0133
L1,max,925.0,0.0276,0.0404,0.0374,0.0502,0.0321,0.0386,0.0336,0.0855,0.0464,0.0395,0.0296,0.0295,0.0364,0.0337,0.0651,0.0928,0.045,0.0683,0.0479,0.0473,0.0913,0.153,0.0535,0.0629
L2,count,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0,1791.0
L2,mean,1901.9765494137353,-0.0012866833612506976,-0.0017896823003908434,-0.0013741729754327193,-0.0017036410385259633,-0.0011061568565047463,-0.0012652871021775548,-0.0017257111111111114,-0.0022457388609715247,-0.0017842301172529313,-0.0011631637465103293,-0.0011004001284198772,0.00047014144053601336,-0.0015021608598548297,-0.0010299961474036852,-0.0014740684366275822,-0.002691539419318816,-0.0002583352875488555,-0.0015447004466778342,-0.001842178782802903,0.0013074353992183138,0.002524959134561697,0.0028905929402568407,0.0008282694025683974,-0.0009202525348967061
L2,std,53.1205176358143,0.012478108195806291,0.018139440369638778,0.01350693951888873,0.01617842007335238,0.014680552155523375,0.015577203976548229,0.01540080353827746,0.021877523578485335,0.020488021260561817,0.017548794372878578,0.011864546452240827,0.00642266199243625,0.017591844527683975,0.012929887430651094,0.02352157538662837,0.026466321377595452,0.016987699936990393,0.026510182719798134,0.01699405956500163,0.009166702150063917,0.021763287895789213,0.022812795862811222,0.012128186659049672,0.020819764671015106
L2,min,1810.0,-0.0279,-0.0407,-0.0294,-0.0371,-0.036,-0.0331,-0.0331,-0.0496,-0.0437,-0.0385,-0.0293,-0.0156,-0.0467,-0.0319,-0.0456,-0.0606,-0.0359,-0.0581,-0.0339,-0.0283,-0.066,-0.0674,-0.0284,-0.0432
L2,25%,1860.0,-0.00961,-0.01475,-0.0114,-0.0129,-0.0119,-0.012150000000000001,-0.0137,-0.0187,-0.016,-0.01295,-0.009330000000000001,-0.0041,-0.0151,-0.01115,-0.0194,-0.0222,-0.012150000000000001,-0.0199,-0.01455,-0.00433,-0.0127,-0.01075,-0.00749,-0.017
L2,50%,1900.0,-0.0022199999999999998,-0.00432,-0.00255,-0.00556,-0.00398,-0.0037,-0.0033299999999999996,-0.00528,-0.00485,-0.00419,-0.0028699999999999997,0.0005780000000000001,-0.0035700000000000003,-0.00294,-0.00455,-0.007209999999999999,-0.0012699999999999999,-0.006520000000000001,-0.0041,0.000688,0.00317,0.0017100000000000001,0.00173,-0.00243
L2,75%,1950.0,0.00484,0.0105,0.006335,0.009145,0.00853,0.008685,0.008345,0.012799999999999999,0.009655,0.008910000000000001,0.0056749999999999995,0.0046099999999999995,0.009185,0.007775,0.01255,0.01455,0.0118,0.0155,0.008475,0.007495,0.016849999999999997,0.0182,0.00857,0.01345
L2,max,1990.0,0.0434,0.055,0.0403,0.0478,0.0444,0.0483,0.0466,0.0668,0.0596,0.0519,0.036,0.0175,0.0544,0.0356,0.0655,0.0769,0.0502,0.0827,0.0474,0.0306,0.0699,0.0668,0.0369,0.0585
Non,count,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0,6516.0
Non,mean,1305.0144260282382,-0.0004295209054634745,-5.345141190914731e-05,-9.255012277470826e-05,-7.257212093308701e-05,2.236930632289809e-05,0.00010021230816451796,-0.00010915327501534688,-0.0005310514732965013,-0.0005779235113566604,0.00091594725475752,0.00014591833179864935,0.00032191497544505835,-0.00028982468538980946,-0.00015856525015346844,-0.00033911604511970537,-1.944413750767454e-05,0.001646254783609577,0.0016065484100675261,-0.0005365340392879069,0.0014042258870472684,0.0013612089794352378,-0.0008018489871086573,0.00146808028698588,9.998411970534049e-05
Non,std,194.75629521811143,0.029889019929397975,0.04416735000812699,0.03830535997867026,0.06284578334863578,0.03107295266354222,0.05025191050427759,0.02880459751193208,0.07030656348125965,0.036387703061444045,0.025806870032382682,0.0313111518425174,0.031722871047830024,0.04442755813471411,0.025980717235807724,0.04228851472447462,0.10280276983463311,0.06154367189911665,0.030599945667272116,0.047068793801954514,0.0701570905520718,0.1461493049171299,0.19884491990987113,0.09028807533282326,0.021815100453652564
Non,min,968.0,-0.0846,-0.128,-0.0942,-0.168,-0.0877,-0.136,-0.086,-0.184,-0.0887,-0.0795,-0.0939,-0.106,-0.115,-0.0743,-0.0972,-0.29100000000000004,-0.19699999999999998,-0.093,-0.107,-0.231,-0.418,-0.601,-0.254,-0.0679
Non,25%,1140.0,-0.0196,-0.03,-0.0265,-0.0432,-0.0219,-0.0333,-0.0192,-0.051324999999999996,-0.0246,-0.0164,-0.020925,-0.018,-0.0307,-0.0197,-0.0311,-0.06822500000000001,-0.0307,-0.0202,-0.0344,-0.044324999999999996,-0.08432500000000001,-0.113,-0.047525000000000005,-0.0145
Non,50%,1300.0,-0.004705,-0.0029049999999999996,-0.004365000000000001,-0.008289999999999999,-0.00165,-0.00705,-0.004015,-0.0113,-0.0035050000000000003,0.00129,-0.0029249999999999996,0.00202,-0.006635,-0.002345,-0.00622,-0.0131,0.009495,0.00275,-0.006940000000000001,0.0063549999999999995,0.0161,0.0206,0.01425,-0.000362
Non,75%,1480.0,0.0151,0.0261,0.020825,0.032,0.0182,0.0243,0.0154,0.0449,0.0215,0.016925,0.0168,0.0215,0.0241,0.0152,0.0246,0.0543,0.044,0.0233,0.025025000000000002,0.0473,0.0953,0.132,0.0668,0.013725
Non,max,1640.0,0.0961,0.126,0.10300000000000001,0.171,0.0943,0.13699999999999998,0.0913,0.192,0.11699999999999999,0.0741,0.0906,0.105,0.125,0.074,0.132,0.28,0.16399999999999998,0.08,0.13699999999999998,0.175,0.39,0.535,0.231,0.0676
Ass,count,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0,5103.0
