,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0
L1,mean,1090.1926444833625,-0.002252303632224168,0.000984615032107414,-0.001989244646993578,0.0026242450145942792,0.002832240513718622,-0.0005733835026269703,2.966350169293638e-06,0.0017089945300642149,-0.0011004294862813774,-0.0010420060303561005,7.581476941039126e-05,-0.0067628229422066555,0.0020999601868067715,-0.0012478090426152949,0.0008528862697022771,0.0010061238178633975,0.0028454482194979576,0.0020744776240513717,-0.0016781465674255691,-0.0007029138943374197,-0.005006519497956801,-0.0003410339813193228,0.003498300175131348,0.0005721147402218334
L1,std,53.18295451996108,0.014518107405982196,0.0128722497182459,0.012605314701914557,0.012735340096777892,0.012625903658719134,0.012018582146566311,3.682129494955131e-05,0.01030720563438457,0.012085597575927589,0.009008080060999565,0.009938001275531941,0.033229256498624044,0.020742528637234896,0.014447862715380518,0.013670132712660753,0.011879145473313712,0.016923946555109672,0.012162248293586978,0.008764133445098297,0.00883826657728032,0.02859212898608682,0.013132465625050507,0.044718240197736396,0.00955356569800992
L1,min,998.0,-0.0364,-0.0404,-0.0424,-0.0317,-0.0499,-0.0278,-0.000147,-0.039,-0.0268,-0.0306,-0.037,-0.115,-0.0663,-0.031,-0.0425,-0.0375,-0.0494,-0.0478,-0.0255,-0.0246,-0.0929,-0.0354,-0.126,-0.0275
L1,25%,1040.0,-0.0109,-0.00847,-0.0094,-0.00551,-0.00421,-0.00969,-1.65e-06,-0.00361,-0.00942,-0.00579,-0.00555,-0.0243,-0.0102,-0.011,-0.00817,-0.00678,-0.0082,-0.0072900000000000005,-0.00747,-0.00621,-0.0212,-0.00868,-0.029,-0.00599
L1,50%,1090.0,-0.0032,0.000959,-0.00209,0.0026,0.00358,-0.00106,-1.78e-08,0.00215,-0.00175,-0.000321,0.000361,-0.00506,0.00344,-0.00256,0.0017800000000000001,0.00213,0.00201,0.0033200000000000005,-0.00233,-0.00132,-0.00449,-0.000144,0.009,0.000869
L1,75%,1140.0,0.0042899999999999995,0.00954,0.00421,0.0107,0.0113,0.0072,1.7100000000000002e-05,0.007240000000000001,0.00801,0.00436,0.006940000000000001,0.0118,0.0159,0.0071,0.009,0.00962,0.0159,0.0115,0.00405,0.00435,0.0113,0.00763,0.036,0.0071400000000000005
L1,max,1180.0,0.0528,0.0345,0.0327,0.0314,0.033,0.0445,0.000105,0.0318,0.027,0.0368,0.0293,0.138,0.0607,0.0454,0.0318,0.0261,0.0471,0.0314,0.035,0.0308,0.11699999999999999,0.044,0.106,0.0283
L2,count,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0,1787.0
L2,mean,2166.077224398433,-0.0017957634862898716,-0.0005050954672635702,-0.0008405812081701177,0.0008143493005036375,0.0006822149972020145,-0.001156467353105764,1.5651634583100165e-06,-0.00024441825405707897,-0.0003421576855064354,-0.0002429665472859541,-0.00021455853385562404,-0.0003686997207610517,-0.0005054950195858985,-0.0018322611080022388,-0.0010996395299384444,-2.3891359820928792e-05,0.0010531027364297705,0.000831722490207051,-0.001315844667039731,-0.00062595987688864,-0.0002937922775601565,-0.00048306265808617803,0.004221005819809736,-0.0008520407610520428
L2,std,53.70902351211972,0.008506870698527071,0.012659892272971951,0.01071344414408027,0.014567146375454318,0.012992755438409396,0.010438406822414521,9.174956801968847e-05,0.009253318933261161,0.010308048309385106,0.007444200755432443,0.009434216012215245,0.019044057724515458,0.023698072323917692,0.013895140028198355,0.0173625128487401,0.009012724100116446,0.011605387319012988,0.011135235067718274,0.013356266042659763,0.008028200196960149,0.020478103287107502,0.021836428323491284,0.05022000409066663,0.011484402252189461
L2,min,2070.0,-0.0426,-0.0382,-0.0282,-0.0513,-0.044,-0.0389,-0.000285,-0.0294,-0.0334,-0.017,-0.0338,-0.0481,-0.0572,-0.0597,-0.0569,-0.0306,-0.0282,-0.0305,-0.0379,-0.021,-0.0623,-0.0758,-0.13,-0.0287
