,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0
L1,mean,598.9084269662922,-0.0005412040617977528,-0.00014273682584269655,-0.0002840517528089887,5.0298753202247194e-05,8.804332584269659e-05,-0.00023154283146067416,-0.00015522069662921348,0.00010070332022471902,-0.00014476477528089889,0.00022858941573033713,7.270258426966295e-05,0.0003696834719101121,-0.000231435269662921,-0.0002094038528089888,5.3344595505618155e-05,-0.0003427409550561798,8.968201123595509e-05,-0.00011877671348314618,0.00039754876404494375,0.00020603109831460686,0.0002799492921348314,0.0003571723595505618,0.00015445548146067405,-5.5278674719101135e-05
L1,std,51.85674517368705,0.006111174634567553,0.006181550022173868,0.004164297265267328,0.005367796489039927,0.007757060906721169,0.0035770911996281223,0.004904212160310324,0.006680942048491861,0.008590151697090261,0.007190748418676259,0.007868108102825282,0.008118858700509657,0.009919803084232074,0.004057534246767252,0.006234231181928969,0.005400756888974727,0.006169700441563039,0.0069112278440027234,0.00959034747984295,0.013493045661086497,0.0054224836804292855,0.009583644044896521,0.009306193305823062,0.00449835736013105
L1,min,509.0,-0.0164,-0.016,-0.0112,-0.0159,-0.0174,-0.0112,-0.0139,-0.0193,-0.0205,-0.0173,-0.0183,-0.0223,-0.0295,-0.0131,-0.0171,-0.0129,-0.0153,-0.0158,-0.0175,-0.0291,-0.0117,-0.0212,-0.0207,-0.0115
L1,25%,554.0,-0.0042899999999999995,-0.0044025,-0.0033225000000000004,-0.0031225000000000003,-0.0055925,-0.0024725,-0.0036125,-0.004925,-0.006845,-0.0040125000000000004,-0.0052,-0.00483,-0.00793,-0.0025525,-0.00472,-0.00445,-0.0038225000000000004,-0.00483,-0.0069825,-0.0119,-0.00403,-0.00644,-0.006507499999999999,-0.003765
L1,50%,599.0,0.000177,0.00133,-0.000163,0.0001775,0.0011099999999999999,0.00025,0.0007340000000000001,0.0005535,0.0005575,0.000883,0.0006585,0.0008554999999999999,0.0017300000000000002,0.00020649999999999998,0.000973,0.00016350000000000002,0.00054,0.000465,0.0008765,0.000814,0.0004615,-0.00010320000000000001,0.000829,0.00048750000000000003
L1,75%,644.0,0.0033,0.0045024999999999996,0.00265,0.00373,0.0054600000000000004,0.0020424999999999996,0.00313,0.00498,0.006995,0.0049949999999999994,0.0062924999999999995,0.005615,0.0075,0.0027675,0.00465,0.0036425,0.00466,0.00468,0.0075525,0.0104,0.0042425,0.0066225,0.0063100000000000005,0.0033750000000000004
L1,max,690.0,0.0187,0.0168,0.0109,0.0157,0.0239,0.0111,0.0135,0.0146,0.0186,0.0226,0.0187,0.0266,0.0252,0.00801,0.0151,0.0122,0.015,0.017,0.0295,0.0317,0.0174,0.0299,0.0305,0.0106
L2,count,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0,1819.0
L2,mean,1361.924134139637,0.0005051978449697637,0.0005933350797141287,-0.0006470398405717427,0.0005128797636063771,0.0009325571192963167,2.5793227047829865e-06,0.0006526597526113248,0.0008079108905992302,0.0007334581088510173,0.0022457193073117097,-0.00028325167674546467,0.0026334327652556347,0.0011072050632215504,-3.318351841671253e-05,0.0009148702418911492,0.00043054077570093456,0.0007881360637713031,0.0008431998515667951,0.00127482622319956,0.0005040738317757009,0.0006476805607476637,0.001722212924683892,0.0016205710335349093,0.0004556537108301264
L2,std,54.67407948267557,0.007216527070882462,0.005957438426631227,0.006461623252925332,0.00599160890740489,0.008418299454084137,0.004843890632538477,0.00550754937989061,0.007381735157164571,0.008709373131934265,0.009950503016719996,0.00950369348123859,0.009787341323206505,0.012997296248895033,0.005747372084933005,0.009038801603776086,0.010449794478521178,0.007824714107331389,0.00897137947111526,0.011245439166681833,0.01575251766159679,0.005228663268563496,0.010442323394847587,0.010710786868834539,0.004398128711547882
L2,min,1260.0,-0.0237,-0.0136,-0.0208,-0.0201,-0.0235,-0.0152,-0.0159,-0.0184,-0.022,-0.0359,-0.0301,-0.035,-0.0264,-0.0189,-0.0264,-0.0322,-0.0227,-0.0211,-0.029,-0.0374,-0.0164,-0.026,-0.0248,-0.0125
L2,25%,1320.0,-0.004175,-0.003725,-0.00432,-0.003705,-0.00563,-0.0037749999999999997,-0.00265,-0.00519,-0.0057799999999999995,-0.00509,-0.006425,-0.0046700000000000005,-0.008885,-0.0034549999999999997,-0.005525,-0.004775,-0.0038650000000000004,-0.0060149999999999995,-0.006225,-0.0113,-0.0029249999999999996,-0.00617,-0.0063100000000000005,-0.002755
L2,50%,1360.0,0.00018600000000000002,0.000816,-0.000752,0.0006,0.00043099999999999996,0.000323,0.000676,0.0011,0.000557,0.0017100000000000001,0.000361,0.0023899999999999998,0.0013599999999999999,5.739999999999999e-05,0.0012900000000000001,0.00106,0.00031600000000000004,0.00116,1.21e-05,-0.000874,0.000495,0.00078,0.000166,-0.000146
L2,75%,1410.0,0.005245,0.00455,0.003835,0.004475,0.00677,0.00389,0.00455,0.006385,0.00797,0.00838,0.007235,0.00823,0.0104,0.0036300000000000004,0.0069700000000000005,0.00796,0.005515000000000001,0.00725,0.00908,0.01235,0.00436,0.00836,0.00972,0.00366
L2,max,1460.0,0.0263,0.0164,0.0142,0.0174,0.0217,0.009940000000000001,0.016,0.0206,0.0213,0.0389,0.0191,0.0368,0.0373,0.0125,0.0289,0.0217,0.0203,0.0238,0.031,0.046,0.0147,0.0324,0.0289,0.0139
Non,count,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0
Non,mean,942.2103429796356,-0.00309454115755627,-0.0031118186227224007,0.0004563896248660236,0.0006065059405144695,-0.0013546239072883175,0.0009031982851018218,-0.0018439672722400853,0.00041418457663451217,-0.0005006318569131832,-0.0046724254287245455,0.0017780875066988212,-0.005521045819935691,0.0002891219024651663,0.0005593615219721329,-5.712118676312971e-05,0.0015026883172561635,-0.000773479171221865,0.0014389210970257235,-0.0005919510450160776,-0.001248175529742765,-0.001823008285101822,-0.0025632159967845652,-0.0022617458735262595,-0.00043224550964630226
Non,std,111.85999390578256,0.03398216818294151,0.03933536357371954,0.01057191953467759,0.011079145481608627,0.02122836387844877,0.015418832091529612,0.021872560803598513,0.013798561536239477,0.010920515644919124,0.06037007169672413,0.02063822569663898,0.07436305552551732,0.01319176281025183,0.011379127167833365,0.008829333379159898,0.02057181493946315,0.014258460089516358,0.016750562697258442,0.026933003689034923,0.020361192507507127,0.03553220522067506,0.04865781474606636,0.03657493560945439,0.006839336328684793
Non,min,747.0,-0.0925,-0.089,-0.0325,-0.0303,-0.0516,-0.0383,-0.0675,-0.0354,-0.0265,-0.134,-0.0576,-0.166,-0.0439,-0.0341,-0.0237,-0.0541,-0.0459,-0.056,-0.0883,-0.0504,-0.0887,-0.125,-0.0999,-0.0225
Non,25%,844.0,-0.0277,-0.0308,-0.0070025,-0.0066225,-0.017,-0.0118,-0.0178,-0.0093925,-0.0083,-0.048,-0.0117,-0.058325,-0.0082,-0.006379999999999999,-0.00614,-0.008605,-0.00981,-0.008575,-0.0197,-0.0165,-0.027325000000000002,-0.0371,-0.027825000000000003,-0.0053100000000000005
