,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0,1852.0
L1,mean,794.3207343412527,-0.0011995138336933044,-0.0002900890766738663,-0.0006401833477321816,-0.0014321745302375807,0.0019996552645788336,-0.0007635288228941686,-0.0007374347732181428,-0.0003645997300215982,-0.0006865548596112312,-0.0004712071112311012,-0.0007607559233261339,-0.0013821092332613396,-0.0012881040658747301,-0.0010043639319654426,-0.0011293901187904968,-0.001268466258099352,-0.0003387614794816417,-0.0008531691144708424,-0.0004093821382289416,-0.0006231169870410367,-0.0008361530777537797,-0.0007220012958963284,-0.0015122238768898488,-0.0012771085313174947
L1,std,55.21862390180038,0.009817208114086108,0.009766974734895247,0.010906358860435242,0.009644157758286417,0.006880477633519804,0.006704452284872514,0.009091704619104628,0.007383446403882896,0.008958221693217534,0.010525034290361961,0.010436088158914518,0.012849959256013456,0.00821584602622519,0.006721989991346616,0.009212878118227352,0.009958941230629582,0.00788378819376096,0.007370853446001183,0.007186085508081305,0.009539852246655791,0.010835487746525612,0.008748600971585727,0.011687639087043445,0.013224414222892089
L1,min,700.0,-0.0277,-0.0227,-0.0262,-0.0271,-0.0412,-0.0171,-0.0211,-0.0149,-0.0204,-0.0328,-0.0255,-0.0315,-0.0216,-0.0181,-0.0223,-0.0298,-0.021,-0.0188,-0.0157,-0.0182,-0.0222,-0.0185,-0.0242,-0.0298
L1,25%,746.0,-0.00812,-0.008055,-0.009314999999999999,-0.008620000000000001,-0.00262,-0.00573,-0.007115,-0.0061325,-0.0074624999999999995,-0.00765,-0.0088875,-0.0106,-0.007209999999999999,-0.006005000000000001,-0.0081825,-0.008409999999999999,-0.006252500000000001,-0.0058625,-0.00602,-0.008320000000000001,-0.009604999999999999,-0.0077,-0.0109,-0.012
L1,50%,794.0,-0.001265,-0.0004885,-0.00105,-0.00118,0.00276,-0.001215,-0.0017699999999999999,-0.0014399999999999999,-0.00197,-0.00020400000000000003,-0.001185,-0.00196,-0.0009925,-0.0015300000000000001,-0.001515,-0.0011,-0.000493,-0.000931,-0.00116,-0.0017000000000000001,-0.0017850000000000001,-0.0011099999999999999,-0.0028450000000000003,-0.003085
L1,75%,842.0,0.0045225000000000005,0.007092500000000002,0.0077775,0.005465,0.0073825,0.0042625,0.0043525,0.00462,0.0055,0.007622499999999999,0.007702500000000001,0.008452500000000002,0.004575,0.0036799999999999997,0.005382499999999999,0.006045,0.004484999999999999,0.004495,0.00456,0.0065725,0.007715,0.00586,0.007049999999999999,0.0094825
L1,max,890.0,0.029,0.0206,0.0237,0.0314,0.0175,0.0196,0.0279,0.0189,0.0286,0.0222,0.0229,0.0293,0.0325,0.0233,0.0266,0.0263,0.0222,0.0179,0.017,0.0223,0.0259,0.0262,0.0372,0.0364
L2,count,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0
L2,mean,1785.4608294930877,-0.0004539644815668203,-0.00040965141705069115,-0.0011393949884792628,-0.0007179616359447006,0.0015939300172811061,-0.00030040230990783406,-0.0005609879953917051,-0.0005040268663594469,-0.0006278117511520737,-4.4799014976958776e-05,-0.000785121405529954,-0.00047011588709677425,-0.0008374927488479267,-0.0006571696140552996,-0.0005742629032258065,-0.0005564541071428571,0.00011035865610599082,5.513994815668203e-05,-0.0006516746082949308,-0.0008552751728110598,-0.0010395763997695854,-0.0007113704896313365,-0.0013023900679723502,-0.0012899402304147464
L2,std,51.90787303705338,0.012295435897642936,0.011198383457415367,0.012442805556867833,0.012794029320755391,0.009354013479334108,0.009496071582207211,0.011217694862996045,0.008884496437238312,0.010534101508492136,0.012950469039051433,0.011690003852659541,0.01467913919531536,0.011024616391442725,0.009313043114199629,0.012888104678302707,0.011207549698534245,0.007886624466408816,0.009545499796856524,0.01016824773826412,0.012512875858992108,0.013949301656177365,0.008873998786129558,0.012737877029085978,0.01472451675856099
L2,min,1690.0,-0.032,-0.0297,-0.0248,-0.0411,-0.0496,-0.0307,-0.0362,-0.0219,-0.0223,-0.0365,-0.0301,-0.0374,-0.0305,-0.0235,-0.0312,-0.0363,-0.0255,-0.0322,-0.0214,-0.0287,-0.0278,-0.0205,-0.0298,-0.0356
L2,25%,1740.0,-0.009445,-0.00912,-0.0105,-0.009357500000000001,-0.0047625,-0.00571,-0.0086825,-0.0072825,-0.0084675,-0.0098025,-0.0102,-0.0104,-0.0083475,-0.00648,-0.009199999999999998,-0.0073025,-0.00557,-0.006842500000000001,-0.0081725,-0.01,-0.012,-0.006905,-0.0112,-0.0115
L2,50%,1790.0,-0.00139,-0.0006205,-0.0030550000000000004,-0.0001675,0.0008504999999999999,-0.00108,-0.0002485,-0.001605,-0.00198,0.000185,-0.0006395,-0.001575,-0.000987,-0.0007310000000000001,-0.002385,-0.000178,0.00017900000000000001,-0.00011449999999999999,-0.0019200000000000003,-0.002585,-0.0027099999999999997,-0.0009139999999999999,-0.0015249999999999999,-0.00281
L2,75%,1830.0,0.008325,0.0067125,0.006602500000000001,0.00783,0.0082525,0.005255,0.00703,0.0056524999999999995,0.0061125,0.008852500000000001,0.0068625000000000005,0.0082,0.006342500000000001,0.00685,0.0076925,0.0065825,0.006025,0.0061825,0.00576,0.00668,0.0073075,0.005370000000000001,0.0074325,0.008135
L2,max,1880.0,0.0311,0.0374,0.0434,0.041,0.0242,0.0242,0.029,0.024,0.0336,0.0437,0.036,0.0481,0.034,0.0246,0.0392,0.0384,0.0202,0.0329,0.0322,0.0373,0.0471,0.0268,0.0405,0.04
Non,count,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0,4454.0
Non,mean,1225.1944319712618,-0.00011121218455321054,5.1650273911091313e-05,-8.747347934440939e-05,-0.00207251654220925,0.006963707361921867,0.0021807314997754827,0.0008632363111809611,-0.0006275246519982039,-0.0009763253030983385,-0.0005250506331387515,-0.0009641128940278399,-0.0030517809317467445,-0.002176832247418051,-0.0007040293242029639,-0.0003496177431522223,-0.0038319060103277954,-2.5364319712617806e-06,-0.0006052299939829367,-0.0010449961158509205,-0.0013579952626852267,-0.001646283408172429,-0.001120655309833857,-0.002695038706780422,-0.0009733043533902111
