,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0,1683.0
L1,mean,1180.7961972667856,-9.847376114081984e-05,-0.0016899292335115863,-0.0012139856684491978,0.002686698383838384,0.0021013476411170535,-0.004281125668449199,5.056120023767021e-05,-0.0026606783125371356,0.0010872107237076658,-0.000479920558526441,-0.0018588590017825323,-0.0006618831491384427,-0.00307926027332145,-0.002544060023767083,-0.0008741405822935231,-0.004392458229352346,0.003902665585264409,0.004546919013666073,-0.0008318081937017231,-0.0025189386761735,-0.0012266859417706477,0.003755358229352347,-0.002744756625074272,-0.002838165252525252
L1,std,50.849695138099285,0.018883188385341674,0.015509342669148222,0.00786221065844802,0.025493307638672757,0.03368302366383938,0.01692326525026641,0.0367791926755626,0.023943274018030782,0.03890975437692595,0.02177912490255518,0.03727682788672155,0.03171619869486823,0.02015440184517629,0.011421449239319937,0.013690648952836702,0.039198249778868745,0.03236108637238315,0.023043957660104926,0.009751861041075149,0.012246370651920711,0.008858718430565977,0.06422270827575687,0.018471729340443985,0.011730933470935562
L1,min,1090.0,-0.0836,-0.0518,-0.018,-0.0731,-0.134,-0.0437,-0.134,-0.0947,-0.125,-0.0854,-0.129,-0.10800000000000001,-0.0842,-0.0266,-0.0446,-0.12300000000000001,-0.129,-0.145,-0.0342,-0.0577,-0.0291,-0.20800000000000002,-0.0559,-0.0521
L1,25%,1140.0,-0.0105,-0.01115,-0.006965,-0.0129,-0.0191,-0.0167,-0.0175,-0.0158,-0.018250000000000002,-0.0115,-0.0193,-0.0108,-0.0131,-0.009884999999999998,-0.0104,-0.0297,-0.0124,-0.005705,-0.007464999999999999,-0.00851,-0.0064600000000000005,-0.0232,-0.0147,-0.00958
L1,50%,1180.0,0.0012900000000000001,-0.00214,-0.00132,0.000544,-0.000897,-0.00569,-0.00246,-0.00484,-0.000338,-7.140000000000001e-05,-0.0028899999999999998,-0.0013800000000000002,-0.00295,-0.00436,-0.00223,-0.0021,0.00146,0.0016600000000000002,-5.44e-05,-0.00218,-0.0008810000000000001,-0.000662,-0.00447,-0.00322
L1,75%,1220.0,0.00996,0.009195,0.00391,0.01495,0.0192,0.0059299999999999995,0.017,0.01265,0.021949999999999997,0.008650000000000001,0.02055,0.00879,0.00763,0.003845,0.0101,0.01845,0.0238,0.018349999999999998,0.005855,0.0039,0.0044,0.02765,0.00607,0.0038050000000000002
L1,max,1270.0,0.0853,0.0577,0.027,0.0993,0.11699999999999999,0.0733,0.138,0.0907,0.161,0.0829,0.142,0.113,0.0842,0.0496,0.0494,0.133,0.109,0.0965,0.024,0.0372,0.0255,0.259,0.0749,0.0499
L2,count,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0,1430.0
L2,mean,1993.3006993006993,-0.0012587605244755243,0.000524232104895105,-0.0007361595594405593,0.0014101766853146856,0.0003768280559440558,-0.003335941748251748,0.0004170783006993005,-0.0015429988111888106,0.0023610035944055946,0.00015727111888111893,-0.0010820426083916084,-0.0002939823706293705,-0.0027160981538461534,-0.001013498027972028,-0.000990795384615385,-0.003949824545454546,0.004858924902097902,0.003940387062937063,4.108447552447544e-05,-0.000901797888111888,1.3534183916083966e-05,0.0038950378461538463,-0.002121589020979021,-0.0021379344685314686
L2,std,43.810942353589205,0.008977380004476164,0.008552548260469117,0.004980064242229144,0.012541979058052658,0.01543549613167234,0.015408535255613925,0.017264169138963024,0.018304794958228586,0.01607211190913172,0.00860140915661627,0.00769536349094639,0.007174978850233929,0.008089781969581968,0.015830063515330308,0.011274371688398083,0.012410869464041746,0.01449513337012206,0.01253053898774823,0.008058006582753234,0.009987567129160874,0.007198010128113268,0.012133266053000967,0.010878484742983066,0.00836989008976143
L2,min,1920.0,-0.0299,-0.0284,-0.0126,-0.0419,-0.0652,-0.0424,-0.0652,-0.0449,-0.0529,-0.0446,-0.0253,-0.0196,-0.0237,-0.066,-0.0438,-0.0408,-0.0928,-0.0824,-0.0218,-0.0285,-0.0143,-0.0839,-0.0273,-0.0324
L2,25%,1960.0,-0.0069475000000000006,-0.00499,-0.0044399999999999995,-0.0064625,-0.0101,-0.0127,-0.0105,-0.0144,-0.00768,-0.0051725,-0.006957499999999998,-0.00576,-0.00787,-0.007090000000000001,-0.007775,-0.0114,-0.0036249999999999998,-0.0040774999999999995,-0.005967500000000001,-0.008730000000000002,-0.005322499999999999,-0.0035325,-0.009602499999999998,-0.0067825
L2,50%,1990.0,-0.000634,0.00032700000000000003,-0.0010199999999999999,0.0017850000000000001,-0.002365,-0.00474,-0.000592,-0.0028199999999999996,-0.000893,0.001455,-0.0020800000000000003,-0.001145,-0.00344,-0.00073,-0.00118,-0.006035,0.0046,0.005355,-0.000909,0.0004905,-0.0005685,0.003385,-0.0034,-0.002145
L2,75%,2030.0,0.0038249999999999994,0.006959999999999999,0.0028399999999999996,0.009497499999999999,0.008907499999999999,0.00348,0.012074999999999999,0.00996,0.0119,0.005215,0.003974999999999999,0.0043525000000000005,0.001275,0.0053425,0.0057275,0.005125,0.0156,0.013574999999999999,0.00642,0.00577,0.004305,0.013,0.005175000000000001,0.0024075
