,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0
L1,mean,636.7541931752459,0.0009782946732215154,0.0009437570271833432,0.0010616773857721226,0.0010581452168883746,0.000183251989589358,0.0003190531636784267,0.0006127053846153846,-0.00034361855407750145,0.0005400624754193174,0.0005635101445922499,0.0007642080913823018,-0.0006330738224407174,-9.162148293811449e-05,0.0003549123481781377,0.0011255904106419895,0.0012846123059572006,0.000833484025448236,0.000710216211683054,0.0005572626836321574,0.000734084094274147,0.0001457518669751303,0.000918866049739734,4.152137073452847e-05,0.0009340473279352227
L1,std,52.29350114145775,0.006235345490750037,0.006646345511822379,0.008901428071199556,0.008810677132541418,0.004449728410914975,0.006152883703587861,0.003309348859320775,0.028700070594625874,0.0034235710566379316,0.00539007811286988,0.0075300227358312,0.012970946413452132,0.007226608715438393,0.0051829788040467575,0.011168603989455198,0.008922607448208731,0.005429625724790185,0.010602201346580752,0.014031421537915964,0.005007062273411461,0.007615397213454931,0.005716288995579398,0.00433871585345023,0.01100993355810768
L1,min,547.0,-0.0185,-0.0208,-0.0292,-0.0249,-0.0132,-0.0156,-0.00949,-0.0816,-0.0117,-0.0177,-0.0259,-0.0377,-0.0232,-0.0177,-0.0376,-0.0303,-0.0184,-0.0321,-0.041,-0.0191,-0.022,-0.0193,-0.0114,-0.031
L1,25%,590.0,-0.00234,-0.0032,-0.00428,-0.00396,-0.00275,-0.00352,-0.0017699999999999999,-0.0196,-0.00187,-0.0030800000000000003,-0.0039299999999999995,-0.009,-0.005370000000000001,-0.00271,-0.00642,-0.00344,-0.0025399999999999997,-0.00588,-0.00945,-0.0027600000000000003,-0.00439,-0.00245,-0.00309,-0.0069099999999999995
L1,50%,636.0,0.0017800000000000001,0.00213,0.00242,0.00165,-0.000154,0.000797,0.0006349999999999999,-0.000246,0.0010400000000000001,0.0010199999999999999,0.00134,0.00242,0.000304,0.00014,0.00148,0.00244,0.0012900000000000001,0.00086,0.00172,0.00133,0.00172,0.00109,-0.000175,0.00106
L1,75%,681.0,0.00492,0.00539,0.0065,0.006,0.00265,0.0050799999999999994,0.00274,0.0175,0.0030600000000000002,0.00427,0.00601,0.00836,0.0052899999999999996,0.0037799999999999995,0.00899,0.00646,0.0046,0.00763,0.0103,0.00428,0.00526,0.0045,0.0027,0.008740000000000001
L1,max,729.0,0.0213,0.0198,0.0284,0.0273,0.0145,0.0167,0.0118,0.0878,0.0092,0.0119,0.0177,0.0298,0.0208,0.0169,0.0322,0.0272,0.0175,0.034,0.0395,0.0129,0.0177,0.019,0.0134,0.035
L2,count,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0,1636.0
L2,mean,1689.4743276283618,-3.956083129584356e-05,0.00026979371638141794,0.0003113620599022005,0.00025032876528117363,-0.0003989781173594131,-0.00012520643031784822,-0.00016178671149144258,0.0011162759779951101,-7.458832518337439e-06,-2.0767408312958537e-05,0.00027145095837408323,0.00037142726161369226,-5.8573716381418084e-05,5.4207457212714084e-05,-0.00039538630806845964,0.00048113432151589266,9.814932762836172e-06,-0.0001626959889975551,-0.0005823091198044008,-0.00012559113691931555,-6.2015281173594e-05,-0.00013385498777506114,8.914293398533004e-05,-0.0002568337713936431
